WormBase Sequence Name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID
OVOC90	OVOC_OM1b	771579	775218	-1	WBGene00236899
OVOC91	OVOC_OM1b	775204	777606	-1	WBGene00236900
OVOC93	OVOC_OM1b	778953	780974	-1	WBGene00236902
OVOC94	OVOC_OM1b	781999	785350	-1	WBGene00236903
OVOC95	OVOC_OM1b	785794	789709	-1	WBGene00236904
OVOC96	OVOC_OM1b	791501	795822	1	WBGene00236905
OVOC97	OVOC_OM1b	796482	800259	-1	WBGene00236906
OVOC100	OVOC_OM1b	803217	814864	-1	WBGene00236909
OVOC101	OVOC_OM1b	816499	819151	1	WBGene00236910
OVOC105	OVOC_OM1b	823713	841430	1	WBGene00236914
OVOC106	OVOC_OM1b	842897	849957	-1	WBGene00236915
OVOC108	OVOC_OM1b	866084	868327	1	WBGene00236917
OVOC109	OVOC_OM1b	865208	872817	-1	WBGene00236918
OVOC110	OVOC_OM1b	876741	879575	1	WBGene00236919
OVOC113	OVOC_OM1b	899057	904775	1	WBGene00236922
OVOC116	OVOC_OM1b	913702	916440	1	WBGene00236925
OVOC117	OVOC_OM1b	919249	924823	1	WBGene00236926
OVOC120	OVOC_OM1b	951426	964669	1	WBGene00236929
OVOC123	OVOC_OM1b	983341	1007481	1	WBGene00236932
OVOC131	OVOC_OM1b	1044022	1045242	1	WBGene00236940
OVOC132	OVOC_OM1b	1044454	1055643	-1	WBGene00236941
OVOC133	OVOC_OM1b	1058274	1066215	1	WBGene00236942
OVOC135	OVOC_OM1b	1077018	1080412	-1	WBGene00236944
OVOC137	OVOC_OM1b	1088720	1093372	1	WBGene00236946
OVOC139	OVOC_OM1b	1104854	1116627	1	WBGene00236948
OVOC140	OVOC_OM1b	1117032	1124049	1	WBGene00236949
OVOC141	OVOC_OM1b	1124660	1130594	-1	WBGene00236950
OVOC142	OVOC_OM1b	1133554	1142333	-1	WBGene00236951
OVOC144	OVOC_OM1b	1157029	1162058	-1	WBGene00236953
OVOC146	OVOC_OM1b	1175542	1184592	-1	WBGene00236955
OVOC151	OVOC_OM1b	1208012	1216225	1	WBGene00236960
OVOC152	OVOC_OM1b	1217889	1225051	-1	WBGene00236961
OVOC157	OVOC_OM1b	1261618	1279440	1	WBGene00236966
OVOC159	OVOC_OM1b	1292260	1296427	-1	WBGene00236968
OVOC160	OVOC_OM1b	1298662	1304934	-1	WBGene00236969
OVOC161	OVOC_OM1b	1305516	1312569	1	WBGene00236970
OVOC166	OVOC_OM1b	1334428	1342487	-1	WBGene00236975
OVOC168	OVOC_OM1b	1356153	1365560	1	WBGene00236977
OVOC169	OVOC_OM1b	1364094	1365862	-1	WBGene00236978
OVOC171	OVOC_OM1b	1374118	1380306	1	WBGene00236980
OVOC176	OVOC_OM1b	1400749	1403184	-1	WBGene00236985
OVOC177	OVOC_OM1b	1412166	1415420	-1	WBGene00236986
OVOC178	OVOC_OM1b	1416541	1421047	1	WBGene00236987
OVOC179	OVOC_OM1b	1423039	1425311	1	WBGene00236988
OVOC180	OVOC_OM1b	1426241	1432950	1	WBGene00236989
OVOC181	OVOC_OM1b	1415980	1450403	-1	WBGene00236990
OVOC185	OVOC_OM1b	1483415	1484012	-1	WBGene00236994
OVOC188	OVOC_OM1b	1498710	1503332	1	WBGene00236997
OVOC190	OVOC_OM1b	1509273	1514129	-1	WBGene00236999
OVOC192	OVOC_OM1b	1519557	1523276	-1	WBGene00237001
OVOC193	OVOC_OM1b	1524917	1530035	1	WBGene00237002
OVOC194	OVOC_OM1b	1534153	1543525	-1	WBGene00237003
OVOC195	OVOC_OM1b	1551793	1558217	1	WBGene00237004
OVOC196	OVOC_OM1b	1557339	1561745	-1	WBGene00237005
OVOC198	OVOC_OM1b	1576690	1586077	1	WBGene00237007
OVOC199	OVOC_OM1b	1585898	1587360	-1	WBGene00237008
OVOC202	OVOC_OM1b	1600884	1611324	-1	WBGene00237011
OVOC203	OVOC_OM1b	1616335	1628678	1	WBGene00237012
OVOC204	OVOC_OM1b	1622968	1627720	-1	WBGene00237013
OVOC205	OVOC_OM1b	1628657	1639167	1	WBGene00237014
OVOC206	OVOC_OM1b	1635640	1638970	1	WBGene00237015
OVOC207	OVOC_OM1b	1639573	1642814	1	WBGene00237016
OVOC208	OVOC_OM1b	1643694	1647717	-1	WBGene00237017
OVOC209	OVOC_OM1b	1648836	1651786	-1	WBGene00237018
OVOC211	OVOC_OM1b	1655600	1657877	1	WBGene00237020
OVOC212	OVOC_OM1b	1657922	1661546	-1	WBGene00237021
OVOC215	OVOC_OM1b	1675701	1683768	-1	WBGene00237024
OVOC216	OVOC_OM1b	1694571	1710739	1	WBGene00237025
OVOC217	OVOC_OM1b	1713883	1718487	-1	WBGene00237026
OVOC218	OVOC_OM1b	1720036	1724920	1	WBGene00237027
OVOC219	OVOC_OM1b	1720038	1729134	-1	WBGene00237028
OVOC220	OVOC_OM1b	1729103	1732131	-1	WBGene00237029
OVOC221	OVOC_OM1b	1732132	1736495	1	WBGene00237030
OVOC222	OVOC_OM1b	1736735	1739242	-1	WBGene00237031
OVOC223	OVOC_OM1b	1742433	1749551	1	WBGene00237032
OVOC225	OVOC_OM1b	1757522	1763613	1	WBGene00237034
OVOC226	OVOC_OM1b	1765452	1768285	1	WBGene00237035
OVOC227	OVOC_OM1b	1769185	1776836	1	WBGene00237036
OVOC228	OVOC_OM1b	1776837	1793570	-1	WBGene00237037
OVOC233	OVOC_OM1b	1809811	1818274	1	WBGene00237042
OVOC234	OVOC_OM1b	1803576	1818405	-1	WBGene00237043
OVOC235	OVOC_OM1b	1819886	1824957	-1	WBGene00237044
OVOC237	OVOC_OM1b	1829397	1835080	1	WBGene00237046
OVOC238	OVOC_OM1b	1838311	1839315	1	WBGene00237047
OVOC239	OVOC_OM1b	1840658	1842161	-1	WBGene00237048
OVOC240	OVOC_OM1b	1843814	1844322	-1	WBGene00237049
OVOC242	OVOC_OM1b	1846298	1848072	1	WBGene00237051
OVOC243	OVOC_OM1b	1854146	1857274	1	WBGene00237052
OVOC244	OVOC_OM1b	1858168	1860125	-1	WBGene00237053
OVOC245	OVOC_OM1b	1860816	1863849	-1	WBGene00237054
OVOC246	OVOC_OM1b	1863758	1865872	1	WBGene00237055
OVOC247	OVOC_OM1b	1868531	1892763	1	WBGene00237056
OVOC248	OVOC_OM1b	1868471	1896401	-1	WBGene00237057
OVOC249	OVOC_OM1b	1897658	1903808	-1	WBGene00237058
OVOC253	OVOC_OM1b	1913679	1983636	-1	WBGene00237062
OVOC254	OVOC_OM1b	1992453	1996354	-1	WBGene00237063
OVOC262	OVOC_OM1b	2022629	2029694	-1	WBGene00237071
OVOC264	OVOC_OM1b	2041384	2042878	1	WBGene00237073
OVOC265	OVOC_OM1b	2044377	2059076	1	WBGene00237074
OVOC266	OVOC_OM1b	2048074	2059057	-1	WBGene00237075
OVOC267	OVOC_OM1b	2059957	2070682	-1	WBGene00237076
OVOC269	OVOC_OM1b	2078863	2082312	-1	WBGene00237078
OVOC271	OVOC_OM1b	2094268	2111181	1	WBGene00237080
OVOC274	OVOC_OM1b	2122535	2127334	-1	WBGene00237083
OVOC276	OVOC_OM1b	2135782	2142700	1	WBGene00237085
OVOC277	OVOC_OM1b	2141047	2149925	1	WBGene00237086
OVOC280	OVOC_OM1b	2177420	2182530	-1	WBGene00237089
OVOC281	OVOC_OM1b	2184450	2188647	-1	WBGene00237090
OVOC283	OVOC_OM1b	2193071	2193703	-1	WBGene00237092
OVOC284	OVOC_OM1b	2195230	2203279	-1	WBGene00237093
OVOC285	OVOC_OM1b	2191503	2204018	1	WBGene00237094
OVOC288	OVOC_OM1b	2222573	2227017	1	WBGene00237097
OVOC290	OVOC_OM1b	2231138	2237155	-1	WBGene00237099
OVOC291	OVOC_OM1b	2230988	2251776	1	WBGene00237100
OVOC293	OVOC_OM1b	2264976	2270580	-1	WBGene00237102
OVOC295	OVOC_OM1b	2275457	2279942	1	WBGene00237104
OVOC296	OVOC_OM1b	2280656	2284720	1	WBGene00237105
OVOC297	OVOC_OM1b	2290803	2328014	1	WBGene00237106
OVOC299	OVOC_OM1b	2328388	2338080	-1	WBGene00237108
OVOC302	OVOC_OM1b	2342787	2347608	-1	WBGene00237111
OVOC303	OVOC_OM1b	2347969	2355361	1	WBGene00237112
OVOC304	OVOC_OM1b	2352646	2355277	-1	WBGene00237113
OVOC305	OVOC_OM1b	2357638	2367267	1	WBGene00237114
OVOC308	OVOC_OM1b	2373390	2376813	-1	WBGene00237117
OVOC310	OVOC_OM1b	2382469	2386473	1	WBGene00237119
OVOC312	OVOC_OM1b	2407082	2445606	-1	WBGene00237121
OVOC316	OVOC_OM1b	2445865	2452453	-1	WBGene00237125
OVOC317	OVOC_OM1b	2452879	2454067	1	WBGene00237126
OVOC321	OVOC_OM1b	2463097	2468568	1	WBGene00237130
OVOC325	OVOC_OM1b	2470993	2497843	-1	WBGene00237134
OVOC326	OVOC_OM1b	2503459	2506980	1	WBGene00237135
OVOC327	OVOC_OM1b	2509827	2513371	-1	WBGene00237136
OVOC328	OVOC_OM1b	2514353	2516737	-1	WBGene00237137
OVOC329	OVOC_OM1b	2518752	2520691	-1	WBGene00237138
OVOC330	OVOC_OM1b	2520857	2526590	-1	WBGene00237139
OVOC334	OVOC_OM1b	2536654	2539539	1	WBGene00237143
OVOC336	OVOC_OM1b	2543062	2563109	-1	WBGene00237145
OVOC337	OVOC_OM1b	2571084	2581516	-1	WBGene00237146
OVOC339	OVOC_OM1b	2584327	2586919	-1	WBGene00237148
OVOC341	OVOC_OM1b	2589143	2599432	1	WBGene00237150
OVOC342	OVOC_OM1b	2591397	2594904	-1	WBGene00237151
OVOC346	OVOC_OM1b	2604227	2608123	-1	WBGene00237155
OVOC347	OVOC_OM1b	2610039	2619617	1	WBGene00237156
OVOC350	OVOC_OM1b	2625763	2630030	1	WBGene00237159
OVOC354	OVOC_OM1b	2654406	2659811	-1	WBGene00237163
OVOC355	OVOC_OM1b	2660643	2667119	-1	WBGene00237164
OVOC356	OVOC_OM1b	2682785	2697437	1	WBGene00237165
OVOC357	OVOC_OM1b	2699302	2701609	1	WBGene00237166
OVOC358	OVOC_OM1b	2702324	2705991	-1	WBGene00237167
OVOC362	OVOC_OM1b	2717206	2751118	1	WBGene00237171
OVOC363	OVOC_OM1b	2752296	2754107	-1	WBGene00237172
OVOC364	OVOC_OM1b	2754301	2761325	-1	WBGene00237173
OVOC365	OVOC_OM1b	2762722	2778980	-1	WBGene00237174
OVOC371	OVOC_OM1b	2820063	2825095	1	WBGene00237180
OVOC372	OVOC_OM1b	2825231	2835048	-1	WBGene00237181
OVOC376	OVOC_OM1b	2861573	2864525	1	WBGene00237185
OVOC377	OVOC_OM1b	2865802	2878322	-1	WBGene00237186
OVOC378	OVOC_OM1b	2884309	2889780	1	WBGene00237187
OVOC379	OVOC_OM1b	2892471	2895826	1	WBGene00237188
OVOC380	OVOC_OM1b	2897344	2900002	-1	WBGene00237189
OVOC381	OVOC_OM1b	2911325	2916294	1	WBGene00237190
OVOC385	OVOC_OM1b	2942427	2961606	1	WBGene00237194
OVOC388	OVOC_OM1b	2976042	2987621	1	WBGene00237197
OVOC390	OVOC_OM1b	2989519	2998663	1	WBGene00237199
OVOC391	OVOC_OM1b	2999382	3000199	-1	WBGene00237200
OVOC393	OVOC_OM1b	3002614	3005708	-1	WBGene00237202
OVOC394	OVOC_OM1b	3007186	3007774	1	WBGene00237203
OVOC395	OVOC_OM1b	3008117	3010040	-1	WBGene00237204
OVOC396	OVOC_OM1b	3011932	3012635	-1	WBGene00237205
OVOC397	OVOC_OM1b	3010957	3014836	-1	WBGene00237206
OVOC402	OVOC_OM1b	3033372	3037660	-1	WBGene00237211
OVOC403	OVOC_OM1b	3039374	3045688	-1	WBGene00237212
OVOC404	OVOC_OM1b	3046166	3048288	-1	WBGene00237213
OVOC406	OVOC_OM1b	3048268	3060136	-1	WBGene00237215
OVOC407	OVOC_OM1b	3060709	3065911	-1	WBGene00237216
OVOC410	OVOC_OM1b	3073054	3091935	-1	WBGene00237219
OVOC411	OVOC_OM1b	3093140	3096031	-1	WBGene00237220
OVOC412	OVOC_OM1b	3097814	3099566	-1	WBGene00237221
OVOC413	OVOC_OM1b	3097563	3106975	-1	WBGene00237222
OVOC414	OVOC_OM1b	3111418	3134200	-1	WBGene00237223
OVOC419	OVOC_OM1b	3139868	3143590	-1	WBGene00237228
OVOC420	OVOC_OM1b	3143139	3147481	1	WBGene00237229
OVOC422	OVOC_OM1b	3147489	3151933	1	WBGene00237231
OVOC423	OVOC_OM1b	3152364	3161748	-1	WBGene00237232
OVOC424	OVOC_OM1b	3162160	3167628	-1	WBGene00237233
OVOC425	OVOC_OM1b	3168141	3172089	-1	WBGene00237234
OVOC427	OVOC_OM1b	3177158	3188003	1	WBGene00237236
OVOC429	OVOC_OM1b	3190985	3198761	1	WBGene00237238
OVOC430	OVOC_OM1b	3202023	3203282	1	WBGene00237239
OVOC431	OVOC_OM1b	3203352	3206009	1	WBGene00237240
OVOC432	OVOC_OM1b	3206021	3209712	1	WBGene00237241
OVOC434	OVOC_OM1b	3217494	3222938	1	WBGene00237243
OVOC436	OVOC_OM1b	3225639	3229487	1	WBGene00237245
OVOC437	OVOC_OM1b	3234839	3237705	-1	WBGene00237246
OVOC438	OVOC_OM1b	3243196	3253721	1	WBGene00237247
OVOC439	OVOC_OM1b	3254277	3256050	1	WBGene00237248
OVOC440	OVOC_OM1b	3256500	3257246	1	WBGene00237249
OVOC441	OVOC_OM1b	3261554	3266455	-1	WBGene00237250
OVOC442	OVOC_OM1b	3268946	3275852	1	WBGene00237251
OVOC443	OVOC_OM1b	3278911	3282705	-1	WBGene00237252
OVOC445	OVOC_OM1b	3285424	3288641	-1	WBGene00237254
OVOC448	OVOC_OM1b	3294919	3299119	1	WBGene00237257
OVOC450	OVOC_OM1b	3302591	3305666	-1	WBGene00237259
OVOC452	OVOC_OM1b	3318322	3324287	1	WBGene00237261
OVOC454	OVOC_OM1b	3324918	3325736	-1	WBGene00237263
OVOC455	OVOC_OM1b	3325714	3327673	1	WBGene00237264
OVOC456	OVOC_OM1b	3327679	3334699	-1	WBGene00237265
OVOC458	OVOC_OM1b	3344101	3350387	1	WBGene00237267
OVOC459	OVOC_OM1b	3352014	3359997	1	WBGene00237268
OVOC460	OVOC_OM1b	3350847	3365087	-1	WBGene00237269
OVOC461	OVOC_OM1b	3365799	3369154	-1	WBGene00237270
OVOC462	OVOC_OM1b	3382235	3385205	1	WBGene00237271
OVOC464	OVOC_OM1b	3388719	3397691	-1	WBGene00237273
OVOC468	OVOC_OM1b	3402344	3413142	1	WBGene00237277
OVOC471	OVOC_OM1b	3419105	3425093	1	WBGene00237280
OVOC472	OVOC_OM1b	3426196	3433319	1	WBGene00237281
OVOC477	OVOC_OM1b	3462414	3517214	1	WBGene00237286
OVOC480	OVOC_OM1b	3531146	3533603	1	WBGene00237289
OVOC482	OVOC_OM1b	3539553	3548256	1	WBGene00237291
OVOC483	OVOC_OM1b	3552547	3579901	1	WBGene00237292
OVOC484	OVOC_OM1b	3585365	3594492	1	WBGene00237293
OVOC488	OVOC_OM1b	3596622	3607909	-1	WBGene00237297
OVOC491	OVOC_OM1b	3631033	3655256	1	WBGene00237300
OVOC497	OVOC_OM1b	3659090	3663539	1	WBGene00237306
OVOC498	OVOC_OM1b	3672427	3679965	-1	WBGene00237307
OVOC500	OVOC_OM1b	3705993	3711739	-1	WBGene00237309
OVOC501	OVOC_OM1b	3711907	3715888	-1	WBGene00237310
OVOC503	OVOC_OM1b	3727689	3733236	-1	WBGene00237312
OVOC504	OVOC_OM1b	3732281	3733236	1	WBGene00237313
OVOC505	OVOC_OM1b	3733205	3736652	-1	WBGene00237314
OVOC506	OVOC_OM1b	3741738	3746464	1	WBGene00237315
OVOC507	OVOC_OM1b	3749783	3751824	-1	WBGene00237316
OVOC511	OVOC_OM1b	3759734	3764410	-1	WBGene00237320
OVOC512	OVOC_OM1b	3774724	3786479	-1	WBGene00237321
OVOC513	OVOC_OM1b	3787839	3789903	-1	WBGene00237322
OVOC514	OVOC_OM1b	3791888	3799176	-1	WBGene00237323
OVOC515	OVOC_OM1b	3800760	3803457	1	WBGene00237324
OVOC516	OVOC_OM1b	3804349	3810642	-1	WBGene00237325
OVOC517	OVOC_OM1b	3818781	3820543	1	WBGene00237326
OVOC518	OVOC_OM1b	3822289	3824396	1	WBGene00237327
OVOC520	OVOC_OM1b	3828757	3837324	1	WBGene00237329
OVOC521	OVOC_OM1b	3838471	3845195	1	WBGene00237330
OVOC525	OVOC_OM1b	3856548	3863011	-1	WBGene00237334
OVOC526	OVOC_OM1b	3863788	3865676	-1	WBGene00237335
OVOC533	OVOC_OM1b	3894816	3898579	1	WBGene00237342
OVOC535	OVOC_OM1b	3902037	3903227	1	WBGene00237344
OVOC536	OVOC_OM1b	3904544	3906824	1	WBGene00237345
OVOC537	OVOC_OM1b	3907595	3912814	-1	WBGene00237346
OVOC538	OVOC_OM1b	3918515	3922024	-1	WBGene00237347
OVOC539	OVOC_OM1b	3922888	3927598	1	WBGene00237348
OVOC540	OVOC_OM1b	3924347	3927419	-1	WBGene00237349
OVOC541	OVOC_OM1b	3927885	3932528	1	WBGene00237350
OVOC542	OVOC_OM1b	3933253	3943486	-1	WBGene00237351
OVOC543	OVOC_OM1b	3948137	3955776	-1	WBGene00237352
OVOC549	OVOC_OM1b	3981079	3985764	1	WBGene00237358
OVOC550	OVOC_OM1b	3990639	3994830	-1	WBGene00237359
OVOC551	OVOC_OM1b	3996451	3998849	1	WBGene00237360
OVOC552	OVOC_OM1b	4008599	4014148	-1	WBGene00237361
OVOC556	OVOC_OM1b	4039761	4043015	-1	WBGene00237365
OVOC557	OVOC_OM1b	4043124	4046379	1	WBGene00237366
OVOC561	OVOC_OM1b	4066388	4069182	-1	WBGene00237370
OVOC562	OVOC_OM1b	4070904	4074351	-1	WBGene00237371
OVOC563	OVOC_OM1b	4075896	4077947	-1	WBGene00237372
OVOC564	OVOC_OM1b	4078286	4083118	1	WBGene00237373
OVOC565	OVOC_OM1b	4085053	4094931	1	WBGene00237374
OVOC566	OVOC_OM1b	4089667	4094580	-1	WBGene00237375
OVOC568	OVOC_OM1b	4097787	4111635	1	WBGene00237377
OVOC569	OVOC_OM1b	4112329	4114420	-1	WBGene00237378
OVOC570	OVOC_OM1b	4114764	4117571	1	WBGene00237379
OVOC571	OVOC_OM1b	4118257	4123574	-1	WBGene00237380
OVOC572	OVOC_OM1b	4124871	4128543	-1	WBGene00237381
OVOC574	OVOC_OM1b	4129493	4132421	1	WBGene00237383
OVOC575	OVOC_OM1b	4132917	4134109	1	WBGene00237384
OVOC576	OVOC_OM1b	4134208	4147534	-1	WBGene00237385
OVOC579	OVOC_OM1b	4151347	4154478	-1	WBGene00237388
OVOC580	OVOC_OM1b	4154529	4158107	-1	WBGene00237389
OVOC581	OVOC_OM1b	4159690	4165302	-1	WBGene00237390
OVOC582	OVOC_OM1b	4173807	4175210	1	WBGene00237391
OVOC583	OVOC_OM1b	4175783	4181952	1	WBGene00237392
OVOC584	OVOC_OM1b	4181960	4185704	1	WBGene00237393
OVOC585	OVOC_OM1b	4181953	4187146	-1	WBGene00237394
OVOC589	OVOC_OM1b	4195489	4206382	-1	WBGene00237398
OVOC591	OVOC_OM1b	4214337	4221046	-1	WBGene00237400
OVOC595	OVOC_OM1b	4242570	4246723	1	WBGene00237404
OVOC596	OVOC_OM1b	4248421	4251312	-1	WBGene00237405
OVOC597	OVOC_OM1b	4253397	4261192	1	WBGene00237406
OVOC598	OVOC_OM1b	4263397	4267740	-1	WBGene00237407
OVOC599	OVOC_OM1b	4270227	4273810	-1	WBGene00237408
OVOC600	OVOC_OM1b	4273786	4280018	-1	WBGene00237409
OVOC603	OVOC_OM1b	4290277	4293810	1	WBGene00237412
OVOC604	OVOC_OM1b	4295762	4301312	1	WBGene00237413
OVOC608	OVOC_OM1b	4317674	4318470	-1	WBGene00237417
OVOC612	OVOC_OM1b	4320501	4329618	-1	WBGene00237421
OVOC613	OVOC_OM1b	4336320	4339507	1	WBGene00237422
OVOC614	OVOC_OM1b	4341060	4349908	-1	WBGene00237423
OVOC616	OVOC_OM1b	4356776	4366130	-1	WBGene00237425
OVOC618	OVOC_OM1b	4370035	4374046	1	WBGene00237427
OVOC619	OVOC_OM1b	4374613	4378879	-1	WBGene00237428
OVOC621	OVOC_OM1b	4389978	4392562	1	WBGene00237430
OVOC622	OVOC_OM1b	4397024	4401574	1	WBGene00237431
OVOC623	OVOC_OM1b	4405243	4408598	-1	WBGene00237432
OVOC625	OVOC_OM1b	4431304	4435837	-1	WBGene00237434
OVOC626	OVOC_OM1b	4435821	4439905	1	WBGene00237435
OVOC627	OVOC_OM1b	4439316	4440935	-1	WBGene00237436
OVOC628	OVOC_OM1b	4442171	4442842	-1	WBGene00237437
OVOC630	OVOC_OM1b	4444679	4452982	1	WBGene00237439
OVOC631	OVOC_OM1b	4453979	4458644	-1	WBGene00237440
OVOC637	OVOC_OM1b	4482750	4485752	1	WBGene00237446
OVOC638	OVOC_OM1b	4486545	4495987	1	WBGene00237447
OVOC639	OVOC_OM1b	4496304	4501214	-1	WBGene00237448
OVOC641	OVOC_OM1b	4505696	4509115	-1	WBGene00237450
OVOC642	OVOC_OM1b	4509354	4515804	1	WBGene00237451
OVOC643	OVOC_OM1b	4517530	4530546	1	WBGene00237452
OVOC645	OVOC_OM1b	4537478	4542707	1	WBGene00237454
OVOC647	OVOC_OM1b	4549969	4553651	1	WBGene00237456
OVOC648	OVOC_OM1b	4557305	4558503	1	WBGene00237457
OVOC651	OVOC_OM1b	4575309	4582237	1	WBGene00237460
OVOC652	OVOC_OM1b	4584814	4586467	1	WBGene00237461
OVOC653	OVOC_OM1b	4587478	4591972	1	WBGene00237462
OVOC654	OVOC_OM1b	4602612	4611467	1	WBGene00237463
OVOC655	OVOC_OM1b	4611468	4614987	1	WBGene00237464
OVOC656	OVOC_OM1b	4616174	4623797	1	WBGene00237465
OVOC658	OVOC_OM1b	4638366	4646550	1	WBGene00237467
OVOC660	OVOC_OM1b	4695025	4701511	-1	WBGene00237469
OVOC662	OVOC_OM1b	4704651	4706535	-1	WBGene00237471
OVOC664	OVOC_OM1b	4707366	4710747	-1	WBGene00237473
OVOC665	OVOC_OM1b	4711701	4721379	1	WBGene00237474
OVOC667	OVOC_OM1b	4717877	4721348	-1	WBGene00237476
OVOC668	OVOC_OM1b	4725126	4728818	-1	WBGene00237477
OVOC669	OVOC_OM1b	4729493	4732242	1	WBGene00237478
OVOC670	OVOC_OM1b	4733568	4740819	-1	WBGene00237479
OVOC671	OVOC_OM1b	4744971	4749349	-1	WBGene00237480
OVOC673	OVOC_OM1b	4749328	4753735	-1	WBGene00237482
OVOC674	OVOC_OM1b	4764675	4770769	-1	WBGene00237483
OVOC676	OVOC_OM1b	4775352	4776407	1	WBGene00237485
OVOC677	OVOC_OM1b	4777018	4787932	1	WBGene00237486
OVOC679	OVOC_OM1b	4790571	4793583	1	WBGene00237488
OVOC682	OVOC_OM1b	4804363	4808766	1	WBGene00237491
OVOC683	OVOC_OM1b	4809581	4811030	-1	WBGene00237492
OVOC684	OVOC_OM1b	4811457	4824322	1	WBGene00237493
OVOC685	OVOC_OM1b	4813857	4824322	-1	WBGene00237494
OVOC686	OVOC_OM1b	4824547	4827636	-1	WBGene00237495
OVOC687	OVOC_OM1b	4827593	4834276	1	WBGene00237496
OVOC689	OVOC_OM1b	4837295	4841644	1	WBGene00237498
OVOC690	OVOC_OM1b	4841974	4846793	1	WBGene00237499
OVOC693	OVOC_OM1b	4854521	4861551	-1	WBGene00237502
OVOC695	OVOC_OM1b	4862997	4866677	1	WBGene00237504
OVOC696	OVOC_OM1b	4867268	4868656	1	WBGene00237505
OVOC697	OVOC_OM1b	4868900	4873531	-1	WBGene00237506
OVOC698	OVOC_OM1b	4874761	4882625	-1	WBGene00237507
OVOC700	OVOC_OM1b	4883549	4885975	1	WBGene00237509
OVOC701	OVOC_OM1b	4886285	4889035	1	WBGene00237510
OVOC702	OVOC_OM1b	4890105	4892149	1	WBGene00237511
OVOC703	OVOC_OM1b	4893763	4895987	1	WBGene00237512
OVOC704	OVOC_OM1b	4904790	4910985	1	WBGene00237513
OVOC707	OVOC_OM1b	4913512	4914107	-1	WBGene00237516
OVOC708	OVOC_OM1b	4915539	4922425	1	WBGene00237517
OVOC709	OVOC_OM1b	4924305	4931914	-1	WBGene00237518
OVOC711	OVOC_OM1b	4937578	4943100	-1	WBGene00237520
OVOC714	OVOC_OM1b	4956197	4957443	1	WBGene00237523
