WormBase Sequence Name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID
F56D12.1	II	1306240	1310133	-1	WBGene00000112
F45H10.1	II	13485792	13491786	-1	WBGene00000113
F42G9.5	III	774321	778871	-1	WBGene00000117
C01F6.5	IV	9108931	9109753	1	WBGene00000120
F23B2.6	IV	9147468	9148579	1	WBGene00000121
M18.7	IV	12123155	12124807	1	WBGene00000122
F36A4.7	IV	4248020	4258173	1	WBGene00000123
M195.3	II	8363196	8369159	-1	WBGene00000135
R13G10.2	III	3822403	3826261	1	WBGene00000137
ZK973.6	I	4321095	4359080	1	WBGene00000140
C08B6.9	V	10127492	10130295	-1	WBGene00000142
K06H7.6	III	8080570	8083701	1	WBGene00000143
F35G12.9	III	4593769	4594426	-1	WBGene00000145
F46F3.4	V	11675942	11685268	1	WBGene00000146
VF36H2L.1	I	9232071	9233560	-1	WBGene00000147
ZC434.6	I	10340997	10345648	1	WBGene00000148
C42D8.8	X	5112422	5116866	-1	WBGene00000149
F55A12.7	I	5342180	5344724	-1	WBGene00000150
T05H10.2	II	8047564	8049105	1	WBGene00000151
W03G9.4	I	4964667	4967089	-1	WBGene00000155
K04G2.8	I	8050043	8055489	1	WBGene00000156
F02E8.3	X	4458272	4459264	1	WBGene00000157
Y105E8A.9	I	14406028	14417942	1	WBGene00000158
F29G9.3	V	6017970	6018886	1	WBGene00000159
Y71H2B.10	III	2583953	2597034	-1	WBGene00000160
T20B5.1	X	9336819	9342970	1	WBGene00000161
W09G10.4	II	3532527	3546431	-1	WBGene00000162
R11A5.1	I	7853750	7857850	1	WBGene00000163
F53H8.1	X	954839	957762	1	WBGene00000164
Y48G8AL.14	I	1154511	1156020	-1	WBGene00000165
K08D9.3	V	3210189	3223218	1	WBGene00000168
Y69E1A.7	IV	10961355	10966459	-1	WBGene00000171
M02F4.8	X	3025505	3026976	1	WBGene00000175
K07A1.16	I	9605896	9609025	1	WBGene00000177
ZK525.2	III	13673280	13674746	1	WBGene00000179
ZK1320.6	II	9674978	9677210	1	WBGene00000180
B0336.2	III	5714861	5717585	1	WBGene00000182
F57H12.1	IV	7982526	7983919	1	WBGene00000183
Y116A8C.12	IV	16947120	16949734	1	WBGene00000184
F31A9.3	X	1786907	1788405	1	WBGene00000185
C01C7.1	IV	12622093	12631022	-1	WBGene00000186
F54C9.10	II	8581945	8583080	1	WBGene00000187
F19H8.3	II	14606472	14608342	1	WBGene00000188
Y57G11C.13	IV	14798149	14799229	1	WBGene00000192
C38D4.8	III	4813309	4814814	-1	WBGene00000193
F53H8.2	X	950782	954233	1	WBGene00000195
W02B12.6	II	11460215	11464129	-1	WBGene00000196
F28H1.3	I	3983171	3986915	1	WBGene00000197
Y71F9AL.16	I	2883546	2893718	-1	WBGene00000199
K07C5.1	V	10335443	10338355	-1	WBGene00000200
Y79H2A.6	III	12052424	12058458	-1	WBGene00000201
Y6D11A.1	III	860198	861324	1	WBGene00000202
Y37D8A.1	III	12816789	12818100	-1	WBGene00000203
C35D10.16	III	4878658	4879643	1	WBGene00000204
M01B12.3	I	3069325	3070150	-1	WBGene00000205
F35G12.10	III	4594543	4595944	-1	WBGene00000206
F02E8.1	X	4469743	4471476	1	WBGene00000207
Y53F4B.15	II	15039404	15048904	1	WBGene00000208
K07A12.3	I	8692946	8693468	1	WBGene00000209
C53B7.4	X	6841258	6842129	1	WBGene00000210
B0252.2	II	6910031	6912697	1	WBGene00000211
Y39B6A.20	V	19049461	19050825	-1	WBGene00000214
R12H7.2	X	13218977	13221462	-1	WBGene00000217
K08F8.2	II	8751986	8753939	1	WBGene00000220
F45E6.2	X	12480948	12484904	1	WBGene00000222
C07G2.2	III	4491627	4499043	-1	WBGene00000223
F26D10.9	IV	17269342	17272183	1	WBGene00000224
C38C6.2	II	14640096	14644083	-1	WBGene00000225
T06E4.3	V	9634861	9645595	-1	WBGene00000226
Y48G1BL.2	I	183364	208465	1	WBGene00000227
W04D2.1	V	12478413	12484442	1	WBGene00000228
C34E10.6	III	5228417	5230536	1	WBGene00000229
F27C1.7	I	5428469	5429908	-1	WBGene00000230
D2045.1	III	10461389	10468051	1	WBGene00000231
B0207.12	I	5967250	5973320	-1	WBGene00000232
B0464.7	III	9467464	9468058	1	WBGene00000235
F57B10.11	I	6563629	6564451	-1	WBGene00000236
C54D1.6	X	7166005	7170625	-1	WBGene00000238
C05D2.4	III	5612274	5614700	1	WBGene00000239
Y105E8A.5	I	14371142	14376025	-1	WBGene00000241
F20D12.3	IV	7934097	7937746	1	WBGene00000242
T25F10.5	V	6762476	6765072	-1	WBGene00000244
M7.3	IV	11086074	11092552	-1	WBGene00000246
T19E7.3	IV	5661141	5664425	-1	WBGene00000247
K04F10.4	I	6342231	6356678	1	WBGene00000254
F45G2.5	III	13427642	13429713	-1	WBGene00000255
Y73B6BL.34	IV	6377065	6378195	1	WBGene00000256
F23B12.8	V	14453305	14456998	-1	WBGene00000257
F13H8.10	II	6274115	6279699	1	WBGene00000259
F54B11.6	X	13598449	13599687	1	WBGene00000262
C36A4.8	III	3853026	3862958	-1	WBGene00000264
C53B4.7	IV	8987130	8990444	1	WBGene00000266
Y39E4B.9	III	13134014	13139614	-1	WBGene00000267
B0464.4	III	9469920	9485451	-1	WBGene00000268
Y73E7A.7	I	1621346	1628476	-1	WBGene00000269
T12G3.8	IV	12049862	12051226	-1	WBGene00000270
F45E12.2	II	7305861	7308738	1	WBGene00000271
F15D4.1	II	13200165	13215701	1	WBGene00000274
R06C7.8	I	7251941	7255223	1	WBGene00000275
F57B9.5	III	6932001	6935862	1	WBGene00000276
C23H4.1	X	12199655	12213049	-1	WBGene00000277
F54D8.4	III	5083206	5085289	-1	WBGene00000279
D1022.8	II	7480751	7483109	-1	WBGene00000280
K05G3.3	X	16487481	16489397	1	WBGene00000281
R01E6.3	X	13542574	13544599	1	WBGene00000282
R173.1	X	7020033	7023950	1	WBGene00000283
T28F2.3	I	3629471	3631112	1	WBGene00000284
C13C12.1	V	12514875	12517205	-1	WBGene00000285
C18E9.1	II	8960714	8961577	1	WBGene00000286
T07G12.1	IV	10521422	10530597	1	WBGene00000288
C01G6.8	II	9295918	9310304	-1	WBGene00000289
D2024.6	IV	7228403	7230223	-1	WBGene00000292
M106.5	II	10869196	10870827	1	WBGene00000293
F41G4.2	X	16807461	16813673	-1	WBGene00000294
W01C8.6	X	5705719	5710625	-1	WBGene00000295
B0432.5	II	257819	261063	1	WBGene00000296
F32G8.6	V	10564880	10566445	1	WBGene00000298
T13F2.8	IV	9772510	9773470	1	WBGene00000301
R10E11.1	III	9766516	9774825	1	WBGene00000366
C54D2.5	X	7847682	7875954	-1	WBGene00000367
T28F2.5	I	3641668	3647009	-1	WBGene00000368
Y56A3A.20	III	11918828	11920237	-1	WBGene00000369
Y73F8A.6	IV	15270160	15275835	-1	WBGene00000370
F26E4.9	I	9788749	9790050	1	WBGene00000371
ZC518.3	IV	12361542	12371852	1	WBGene00000376
T05C12.7	II	8185443	8187601	1	WBGene00000377
T21B10.7	II	8927741	8929820	1	WBGene00000378
K01C8.10	II	8283667	8285711	1	WBGene00000379
C07G2.3	III	4499191	4508114	-1	WBGene00000380
F01F1.8	III	5853532	5855687	-1	WBGene00000381
C43E11.10	I	4268070	4270287	-1	WBGene00000382
C17G10.4	II	5589186	5593628	-1	WBGene00000383
K06A5.7	I	6469386	6471995	-1	WBGene00000386
F16B4.8	V	1567076	1585532	1	WBGene00000387
ZK637.11	III	8916351	8917929	-1	WBGene00000388
R07G3.1	II	7616452	7618245	1	WBGene00000390
C47D2.2	X	8208748	8211149	-1	WBGene00000391
F49E8.4	IV	7547118	7547893	-1	WBGene00000392
C15B12.7	X	6499928	6504613	-1	WBGene00000393
F25F2.2	III	4520363	4536991	1	WBGene00000396
F08B4.2	IV	8668941	8676542	1	WBGene00000397
R05H10.6	II	14843177	14850905	1	WBGene00000399
C45G7.5	IV	2436505	2463405	-1	WBGene00000402
B0034.3	II	5945418	5956683	-1	WBGene00000403
T05G5.3	III	9747432	9748852	1	WBGene00000405
F18H3.5	X	13515871	13518911	-1	WBGene00000406
T27E9.3	III	13464687	13466390	-1	WBGene00000407
Y39G10AL.3	I	2281504	2291183	-1	WBGene00000408
F39H11.3	I	8702478	8705825	1	WBGene00000409
H25P06.2	I	11323527	11333152	1	WBGene00000410
R06F6.1	II	10785452	10787272	1	WBGene00000411
Y54E10A.15	I	3223160	3228104	-1	WBGene00000413
Y41D4B.13	IV	1597316	1601620	1	WBGene00000416
C48D1.2	IV	13198372	13204133	-1	WBGene00000417
C35D10.9	III	4852313	4855177	1	WBGene00000418
C02F4.1	IV	10484110	10492952	1	WBGene00000419
F56D2.7	III	5595771	5598066	1	WBGene00000420
C48B4.4	III	9570394	9580081	-1	WBGene00000421
F08F1.5	X	8414015	8416919	-1	WBGene00000422
T07C4.8	III	10335172	10337536	1	WBGene00000423
C09G12.8	IV	3506328	3509527	-1	WBGene00000424
ZK512.3	III	9119559	9125153	1	WBGene00000425
Y106G6E.5	I	10222881	10227009	-1	WBGene00000426
K02B12.1	I	8498114	8502412	-1	WBGene00000431
ZK265.4	I	8245722	8250896	-1	WBGene00000433
W03A3.1	III	5799073	5801109	1	WBGene00000435
F33D11.4	I	5840289	5841888	1	WBGene00000436
R13A5.5	III	7555617	7558208	1	WBGene00000437
F46C8.5	X	7528616	7532732	-1	WBGene00000438
C13G5.1	III	8622658	8626312	1	WBGene00000439
D1007.1	I	4568962	4570027	-1	WBGene00000440
ZC64.3	X	3843367	3857797	-1	WBGene00000441
F31E3.1	III	6979884	6981785	1	WBGene00000443
F29F11.5	V	10672459	10675644	1	WBGene00000445
ZK652.5	III	7839594	7841491	1	WBGene00000446
K12H4.1	III	8067289	8071455	1	WBGene00000448
F46F3.1	V	11661670	11665085	-1	WBGene00000449
K03A11.3	X	13074682	13076092	1	WBGene00000450
C33D12.7	X	3063585	3065551	1	WBGene00000451
C33D12.1	X	3068650	3070396	-1	WBGene00000452
W05E10.3	V	11701764	11705400	-1	WBGene00000453
C10G8.7	V	5323204	5324616	-1	WBGene00000454
C37E2.4	X	14183449	14185597	-1	WBGene00000457
C37E2.5	X	14197373	14209153	-1	WBGene00000458
F22D3.1	II	6951640	6955381	1	WBGene00000459
C28A5.4	III	4446637	4449943	-1	WBGene00000463
Y54F10AM.4	III	2530615	2546420	1	WBGene00000464
C03D6.3	I	9665194	9668664	1	WBGene00000466
F43G9.11	I	8633925	8636044	1	WBGene00000468
ZK909.4	I	14961501	14965361	1	WBGene00000469
F33A8.3	II	11039348	11041206	-1	WBGene00000472
F46F11.2	I	5619569	5620668	1	WBGene00000473
M01E11.5	I	5571787	5573019	-1	WBGene00000474
Y39A1C.3	III	10866870	10868727	-1	WBGene00000475
T23D8.8	I	9994731	9999928	-1	WBGene00000476
F27E11.3	V	3441504	3444877	-1	WBGene00000478
C07H6.5	III	7495320	7497832	-1	WBGene00000479
Y38C9A.2	V	118043	122966	-1	WBGene00000480
ZC416.8	IV	3613934	3624697	-1	WBGene00000481
T14G8.1	X	12846437	12852601	-1	WBGene00000482
F38G1.1	X	481378	486504	1	WBGene00000484
F18C12.1	I	8062059	8081671	-1	WBGene00000485
C23H5.7	IV	2104056	2111605	-1	WBGene00000487
F26D11.10	V	7961539	7968899	-1	WBGene00000488
C27A7.4	V	12144295	12150689	-1	WBGene00000490
B0024.8	V	10299473	10307354	-1	WBGene00000491
F59C6.7	I	10507000	10515506	-1	WBGene00000492
F56H1.1	I	5746633	5754278	1	WBGene00000493
T25G3.2	I	7554855	7559916	1	WBGene00000496
F48A11.1	II	196985	211941	1	WBGene00000497
Y39H10A.7	V	3757047	3759469	-1	WBGene00000498
T09B4.10	I	6181314	6183913	-1	WBGene00000500
C48D1.3	IV	13209729	13214566	-1	WBGene00000501
Y110A7A.13	I	5103581	5104956	-1	WBGene00000502
C04F6.3	X	3397613	3400017	-1	WBGene00000503
H14E04.5	III	2394325	2401308	-1	WBGene00000506
F44B9.4	III	8005935	8009821	-1	WBGene00000507
F44B9.3	III	8010778	8013774	1	WBGene00000508
C52B9.1	X	4286737	4291494	1	WBGene00000510
B0285.8	III	4365285	4367469	1	WBGene00000511
B0285.9	III	4367832	4370160	1	WBGene00000512
B0285.10	III	4370885	4372820	1	WBGene00000513
F22F7.5	V	2106398	2109418	-1	WBGene00000514
T27A10.3	X	3576608	3578830	1	WBGene00000515
T05A6.1	II	7811240	7812105	1	WBGene00000516
C05H8.1	III	5635479	5654558	1	WBGene00000518
Y47D3A.4	III	11154827	11168820	1	WBGene00000519
R07E5.8	III	4419848	4423368	1	WBGene00000520
C15C8.2	V	12736703	12741211	1	WBGene00000521
C01C10.1	X	7431472	7433548	1	WBGene00000523
C01C10.4	X	7433632	7435733	1	WBGene00000526
C36B1.1	I	8705670	8724279	-1	WBGene00000527
T27D12.2	II	11846508	11854743	-1	WBGene00000528
B0491.8	II	11358447	11370311	1	WBGene00000529
T06F4.2	X	4094867	4100573	-1	WBGene00000531
C07H4.2	II	9094710	9098605	-1	WBGene00000532
R07B7.1	V	12060234	12063368	-1	WBGene00000533
R01B10.1	V	6044028	6045671	1	WBGene00000534
K08B4.6	IV	6092603	6093680	-1	WBGene00000535
ZC395.2	III	5277894	5279344	1	WBGene00000536
C07H6.6	III	7515223	7518524	-1	WBGene00000537
F07B10.1	V	11263523	11265711	-1	WBGene00000539
C01G8.2	I	5274693	5278708	-1	WBGene00000540
ZC190.1	V	8682955	8686160	1	WBGene00000541
C06G4.2	III	7980913	7986327	1	WBGene00000542
T04A8.16	III	4700325	4704054	-1	WBGene00000543
Y47H10A.1	I	12073143	12084221	-1	WBGene00000544
Y39A3CL.5	III	1807740	1818323	-1	WBGene00000545
Y77E11A.10	IV	1431272	1435039	-1	WBGene00000546
Y77E11A.11	IV	1435465	1446182	-1	WBGene00000547
F56D1.4	II	5466363	5473812	1	WBGene00000548
R107.6	III	9055052	9058882	1	WBGene00000549
F55H2.6	III	9516631	9521460	-1	WBGene00000550
T21H3.3	V	1156271	1158174	1	WBGene00000552
K07A9.2	IV	1824481	1834029	1	WBGene00000553
F55C10.1	V	11375742	11377990	1	WBGene00000554
Y17G7B.15	II	12072082	12088868	-1	WBGene00000565
Y39A1A.15	III	10655018	10677521	1	WBGene00000566
ZK632.6	III	9814364	9817137	-1	WBGene00000567
C48E7.5	I	6250475	6252834	1	WBGene00000583
C06G3.10	IV	7036960	7039580	-1	WBGene00000585
K08A8.3	X	7465193	7475014	-1	WBGene00000591
W01B6.7	IV	10084454	10085438	-1	WBGene00000593
T28C6.6	IV	8824783	8826013	1	WBGene00000594
F11H8.3	III	7019583	7020600	-1	WBGene00000597
F15H10.1	V	10423907	10425092	-1	WBGene00000601
F15H10.2	V	10420890	10421892	-1	WBGene00000602
C46A5.3	IV	7753408	7754651	1	WBGene00000603
ZK1193.1	X	421707	423033	1	WBGene00000608
F11G11.11	II	4869607	4870791	-1	WBGene00000609
F36A4.6	IV	4263293	4265202	1	WBGene00000610
F36A4.10	IV	4243548	4244610	-1	WBGene00000611
C27H5.5	II	7167513	7168662	-1	WBGene00000613
F54C9.4	II	8568035	8569089	-1	WBGene00000615
T13B5.4	II	1104945	1106925	-1	WBGene00000617
T10B10.1	X	15175035	15176481	-1	WBGene00000618
F53G12.7	I	115739	117438	1	WBGene00000622
Y18H1A.13	I	741913	745570	-1	WBGene00000623
Y54E10BL.2	I	3010688	3011648	1	WBGene00000625
K09H9.3	I	3137185	3138447	1	WBGene00000626
C01H6.1	I	7202242	7203533	-1	WBGene00000637
C50D2.4	II	104534	105833	1	WBGene00000644
W09G10.1	II	3520703	3524180	-1	WBGene00000648
F11G11.12	II	4872098	4873127	-1	WBGene00000649
ZK1248.2	II	5830867	5832014	1	WBGene00000650
T21B4.2	II	12493800	12495106	-1	WBGene00000660
C29E4.1	III	7948838	7950068	1	WBGene00000665
W05B2.6	III	10982166	10983253	-1	WBGene00000667
W05B2.5	III	10984555	10985609	-1	WBGene00000668
W05B2.1	III	10986826	10987873	-1	WBGene00000669
Y41C4A.16	III	11703885	11705091	1	WBGene00000670
Y41C4A.19	III	11705713	11706644	-1	WBGene00000671
ZK1010.7	III	12992405	12993707	-1	WBGene00000672
F29C4.8	IV	138346	147919	-1	WBGene00000674
K02D7.3	IV	325437	326711	-1	WBGene00000675
F58F6.1	IV	1353636	1355305	-1	WBGene00000678
Y41D4A.2	IV	1768621	1769667	1	WBGene00000682
Y38C1BA.3	IV	1817311	1820253	-1	WBGene00000683
C34D4.15	IV	7150663	7152501	-1	WBGene00000687
T28C6.4	IV	8822962	8824195	-1	WBGene00000691
C53B4.5	IV	8978823	8979812	-1	WBGene00000693
T05A1.2	IV	9563360	9564441	1	WBGene00000696
C24F3.6	IV	10216450	10217643	1	WBGene00000698
C29F4.1	IV	11225505	11226519	1	WBGene00000699
F12F6.9	IV	11550002	11551987	-1	WBGene00000702
F52B11.4	IV	14098325	14099368	-1	WBGene00000707
Y51H4A.9	IV	16601480	16602776	-1	WBGene00000710
C52D10.13	IV	17182798	17183740	-1	WBGene00000711
F26F12.1	V	5835855	5836871	-1	WBGene00000713
F55C10.2	V	11385360	11386529	1	WBGene00000727
F55C10.3	V	11388852	11389876	-1	WBGene00000728
T11F9.9	V	11484032	11484998	1	WBGene00000730
F57B1.3	V	13198230	13199315	-1	WBGene00000732
F57B1.4	V	13200982	13202192	-1	WBGene00000733
T21D9.1	X	2093475	2094842	1	WBGene00000737
F14H12.1	X	4353618	4354820	1	WBGene00000738
C35B8.1	X	9233638	9234618	-1	WBGene00000748
C34F6.2	X	11199455	11200464	1	WBGene00000751
C34F6.3	X	11201465	11202488	1	WBGene00000752
W03G11.1	X	12104930	12106081	1	WBGene00000754
R09A8.4	X	12636153	12637056	-1	WBGene00000755
F15A2.1	X	13469387	13470471	1	WBGene00000757
E03G2.4	X	15951503	15954570	1	WBGene00000759
C24A11.9	I	5412841	5415629	-1	WBGene00000761
Y57G11C.11	IV	14793119	14796375	-1	WBGene00000763
T03F1.2	I	3869214	3870114	1	WBGene00000764
ZK652.9	III	7857315	7858457	-1	WBGene00000765
K07B1.2	V	9336762	9338858	1	WBGene00000766
C35D10.4	III	4863427	4866949	1	WBGene00000767
R01H10.3	III	10249111	10254709	1	WBGene00000768
C40H1.1	III	9322316	9324733	1	WBGene00000770
C30B5.3	II	6192784	6195170	1	WBGene00000771
B0414.5	I	5788634	5791752	-1	WBGene00000772
F28C6.3	II	8600435	8602479	-1	WBGene00000773
F56A8.6	III	13266874	13268897	-1	WBGene00000774
T03E6.7	V	16592572	16595346	-1	WBGene00000776
F43G9.9	I	8636123	8637971	-1	WBGene00000777
D1069.2	II	337339	339248	1	WBGene00000778
F28H1.2	I	3987842	3988699	1	WBGene00000779
C25B8.3	X	6607203	6609045	1	WBGene00000786
C41D11.8	I	4446577	4448461	-1	WBGene00000787
F32B5.8	I	2686639	2689493	-1	WBGene00000788
F11C7.4	X	17402540	17414014	-1	WBGene00000792
Y41C4A.4	III	11657738	11693837	1	WBGene00000793
Y47G6A.8	I	3481987	3484499	1	WBGene00000794
CD4.2	V	5594615	5595842	1	WBGene00000795
C14A4.4	II	10588042	10592652	1	WBGene00000796
C14A4.5	II	10592752	10593591	1	WBGene00000798
K04H4.6	III	9367238	9370385	1	WBGene00000799
Y23H5A.7	I	2623102	2628577	-1	WBGene00000800
Y38A10A.5	V	6098993	6100553	-1	WBGene00000802
F53H4.1	X	15861294	15865918	-1	WBGene00000803
Y48G1C.2	I	71425	81071	1	WBGene00000812
Y59A8A.1	V	17861368	17870651	-1	WBGene00000813
B0025.2	I	6022660	6026874	1	WBGene00000814
Y55F3AM.15	IV	1077463	1087013	-1	WBGene00000816
B0547.1	IV	5649533	5651079	1	WBGene00000817
Y67H2A.6	IV	13300828	13304145	1	WBGene00000818
F40E10.3	X	14684877	14688322	1	WBGene00000822
Y23H5A.5	I	2606754	2617360	1	WBGene00000832
T20G5.2	III	10214814	10216635	-1	WBGene00000833
Y76A2A.2	III	13439730	13455307	-1	WBGene00000834
ZK652.11	III	7860466	7861004	-1	WBGene00000835
D2045.6	III	10471237	10475245	1	WBGene00000836
ZK520.4	III	13687199	13692683	1	WBGene00000837
Y108G3AL.1	V	177421	184966	1	WBGene00000838
F45E12.3	II	7302101	7305760	1	WBGene00000839
ZK856.1	V	10179535	10183154	1	WBGene00000840
K08E7.7	IV	12586511	12590428	-1	WBGene00000841
F25D7.1	I	10398944	10400195	-1	WBGene00000843
C02C2.3	III	7866509	7868732	1	WBGene00000845
R13A5.1	III	7584181	7591570	1	WBGene00000846
C47G2.1	II	11269124	11271599	1	WBGene00000851
M142.2	III	10911460	10916567	1	WBGene00000853
C07H6.8	III	7518628	7520845	-1	WBGene00000854
K10B4.6	II	130983	133598	-1	WBGene00000857
W01B6.1	IV	10067824	10070251	1	WBGene00000858
ZC168.4	IV	10735259	10737177	1	WBGene00000865
Y43E12A.1	IV	10985985	10987426	1	WBGene00000866
H31G24.4	I	4114734	4116370	1	WBGene00000867
T06E6.2	V	15395696	15397348	1	WBGene00000868
C54G4.8	I	8022674	8024422	-1	WBGene00000869
Y38F1A.5	II	12980591	12993118	1	WBGene00000870
F11H8.4	III	7023642	7029203	-1	WBGene00000872
K08E3.6	III	13768541	13771242	-1	WBGene00000875
C52E4.6	V	11991011	11993767	-1	WBGene00000876
ZK520.5	III	13692668	13693811	1	WBGene00000878
Y75B12B.5	V	15189927	15190926	1	WBGene00000879
F59E10.2	II	10870779	10872611	-1	WBGene00000880
F31C3.1	I	15040427	15041274	-1	WBGene00000881
F42G9.2	III	773403	774159	1	WBGene00000882
Y75B12B.2	V	15186582	15187787	-1	WBGene00000883
D1009.2	X	8911293	8914261	1	WBGene00000884
T27D1.1	III	3697821	3699640	-1	WBGene00000885
B0252.4	II	6912543	6913365	-1	WBGene00000886
T01B7.4	II	8715132	8716281	-1	WBGene00000887
C34D4.12	IV	7132132	7133217	-1	WBGene00000888
F39H2.2	I	8646451	8651777	1	WBGene00000890
Y87G2A.6	I	13566258	13572063	-1	WBGene00000891
Y17G7B.9	II	12028763	12036742	-1	WBGene00000892
ZC250.1	V	5799673	5805666	1	WBGene00000893
M110.5	II	8226132	8229122	1	WBGene00000894
B0412.1	III	816145	821730	1	WBGene00000895
F29C4.1	IV	132416	138076	1	WBGene00000897
Y55D5A.5	III	2995487	3040860	-1	WBGene00000898
F25E2.5	X	817927	825475	-1	WBGene00000899
C05D2.1	III	5625014	5632322	1	WBGene00000900
B0412.2	III	811828	813773	1	WBGene00000903
R05D11.1	I	8584081	8587505	-1	WBGene00000904
T13C5.1	X	6196927	6200818	1	WBGene00000905
B0240.3	V	11718089	11725652	-1	WBGene00000907
F11A1.3	X	10644409	10666874	1	WBGene00000908
C10C5.6	IV	9386208	9394930	1	WBGene00000911
R13H8.1	I	10750343	10776700	1	WBGene00000912
T07A9.6	IV	419938	425181	-1	WBGene00000913
F33H1.1	II	10157537	10169346	-1	WBGene00000914
C47E8.5	V	14684918	14688543	1	WBGene00000915
K07H8.3	IV	8290273	8291496	1	WBGene00000923
M03A1.7	II	4562853	4563546	1	WBGene00000928
C25A1.10	I	10187515	10190896	-1	WBGene00000931
C14A4.2	II	10581133	10582519	1	WBGene00000933
T23G5.5	III	9242914	9246802	1	WBGene00000934
F56D1.7	II	5456305	5458609	1	WBGene00000935
T25F10.2	V	6758135	6760418	1	WBGene00000936
C55B7.8	I	6490716	6492727	-1	WBGene00000937
C26C6.5	I	7536204	7542157	-1	WBGene00000938
K12H4.8	III	8071916	8080281	-1	WBGene00000939
Y113G7A.9	V	20087848	20090743	-1	WBGene00000940
Y39A3CR.4	III	1859888	1860381	1	WBGene00000941
ZC477.9	IV	7085216	7094364	-1	WBGene00000942
C47C12.6	X	7763187	7774915	1	WBGene00000950
T26H10.1	V	11415342	11420293	-1	WBGene00000955
C09E10.2	X	984581	991456	-1	WBGene00000958
T21B6.1	X	10920533	10928998	-1	WBGene00000961
T21E12.4	I	4386785	4401980	1	WBGene00000962
F55A12.4	I	5354160	5357026	1	WBGene00000966
F56D1.5	II	5453847	5455977	1	WBGene00000969
C17G10.8	II	5617122	5619319	-1	WBGene00000970
C45B11.3	V	11045696	11046899	-1	WBGene00000981
F35B12.2	V	11602294	11604563	-1	WBGene00000983
C15H11.4	V	14420071	14421450	-1	WBGene00000985
Y60A3A.10	V	19934795	19946629	-1	WBGene00000987
M03A8.1	X	6818438	6820080	1	WBGene00000991
F27D9.6	X	7661891	7664919	-1	WBGene00000992
T25G12.7	X	17230719	17235838	-1	WBGene00000993
F08B4.1	IV	8692086	8696553	1	WBGene00000994
C18D1.1	II	10061287	10074443	-1	WBGene00000995
F49E8.5	IV	7551550	7553008	-1	WBGene00000996
C18A11.7	X	8050476	8058220	-1	WBGene00001000
C04G2.6	IV	10097196	10106556	1	WBGene00001001
R01H10.1	III	10245056	10248905	-1	WBGene00001002
T26A5.9	III	6462907	6463801	-1	WBGene00001005
C25F6.2	X	5479700	5484941	1	WBGene00001006
C39E9.14	IV	13096958	13098836	-1	WBGene00001007
